l1: 0.8554062589640472	newPR sum: 1.000000000000001
l1: 0.22768800527583274	newPR sum: 1.0
l1: 0.09883823218885247	newPR sum: 1.000000000000002
l1: 0.053037961597906566	newPR sum: 0.9999999999999988
l1: 0.0309794732690423	newPR sum: 0.9999999999999982
l1: 0.018775309707348087	newPR sum: 0.9999999999999977
l1: 0.011358860658892102	newPR sum: 0.9999999999999992
l1: 0.006858590235252032	newPR sum: 1.0000000000000007
l1: 0.00413112242271828	newPR sum: 0.9999999999999998
l1: 0.0024779204080417317	newPR sum: 0.9999999999999997
l1: 0.0014844334837462172	newPR sum: 1.0000000000000018
l1: 0.0008830393068591236	newPR sum: 0.9999999999999993
l1: 0.0005237346999447054	newPR sum: 1.0000000000000002
l1: 0.0003088321362880361	newPR sum: 1.0000000000000022
l1: 0.00018178135870440017	newPR sum: 0.9999999999999987
